0 1 2
0 4 1
1 4 6
1 14 2
2 14 15
2 35 0
3 0 35
3 4 0
5 3 43
5 4 3
5 8 7
6 4 7
6 7 16
6 16 18
6 18 1
7 4 5
7 8 9
8 45 9
10 11 12
10 13 26
10 31 11
12 11 25
12 13 10
12 44 53
13 53 30
14 1 17
15 14 17
15 17 19
15 34 2
15 55 56
15 56 34
16 20 29
16 93 96
16 96 18
18 17 1
18 57 17
19 17 57
19 55 15
19 57 94
19 92 55
20 7 9
20 9 28
20 16 7
20 28 29
21 22 23
21 36 47
22 21 63
22 61 54
23 37 36
24 11 33
24 25 11
24 29 28
25 28 44
25 44 12
26 13 27
26 95 100
27 13 30
27 62 132
27 84 26
28 25 24
28 74 44
29 24 33
29 93 16
30 62 27
31 32 33
32 31 41
32 81 93
33 11 31
34 35 2
34 70 35
36 21 23
36 50 48
37 38 39
37 40 50
38 37 54
39 38 65
39 117 73
40 37 39
40 39 73
41 10 26
41 31 10
42 5 43
42 8 5
42 83 45
43 3 35
43 70 71
43 71 77
43 77 42
44 74 78
44 78 53
45 8 42
45 46 9
46 28 9
46 101 74
47 48 87
47 67 21
47 87 133
48 47 36
48 49 52
48 52 87
49 50 51
50 36 37
50 40 51
50 49 48
51 40 72
51 72 135
51 88 89
51 89 49
51 135 88
52 49 99
53 13 12
53 69 30
54 23 22
54 37 23
56 55 103
56 91 34
56 103 142
57 96 80
58 59 60
59 75 123
59 105 66
59 123 105
60 59 66
60 66 140
61 22 63
61 38 54
61 63 139
61 65 38
62 30 69
62 69 116
63 21 64
63 64 172
64 67 145
64 145 207
65 61 139
65 117 39
65 188 117
66 105 121
66 121 140
67 47 133
67 64 21
67 133 145
68 45 82
68 46 45
68 82 85
68 85 101
69 108 115
69 115 116
70 43 35
71 90 113
72 40 73
72 73 154
73 117 154
74 28 46
75 58 82
75 59 58
76 42 77
76 83 42
76 124 83
76 166 149
77 71 112
78 74 118
78 108 53
79 80 81
79 86 80
79 100 95
80 96 81
81 32 100
81 100 79
82 58 85
83 75 82
83 82 45
84 27 132
84 106 26
84 132 165
85 58 60
85 60 125
86 95 97
86 97 107
86 107 94
87 52 102
87 102 138
88 135 225
88 225 158
90 34 91
90 70 34
90 71 70
92 94 104
92 119 120
92 120 103
93 29 33
93 33 32
94 57 80
94 80 86
94 92 19
95 26 98
95 86 79
96 57 18
96 93 81
97 95 98
97 98 141
97 136 107
99 49 89
99 89 130
99 130 160
100 32 41
100 41 26
101 46 68
101 85 125
101 126 74
102 52 99
102 99 160
102 160 197
103 55 92
103 157 142
104 107 134
104 119 92
105 114 121
106 84 165
106 98 26
106 141 98
107 104 94
107 136 134
108 69 53
108 78 150
109 110 111
109 111 114
109 114 105
109 123 144
110 161 111
112 71 113
112 113 146
112 166 77
113 90 131
113 214 147
114 122 121
115 108 181
116 115 168
116 168 258
117 188 154
118 150 78
119 104 134
119 134 151
120 157 103
121 176 140
122 111 161
122 114 111
122 161 163
122 174 121
123 75 124
123 109 105
123 124 148
124 75 83
124 76 149
125 60 140
125 126 101
125 215 126
126 118 74
126 182 118
126 215 182
127 128 129
127 142 171
127 171 195
128 190 131
129 56 142
129 90 91
129 91 56
130 88 158
130 89 88
130 253 160
131 90 129
131 129 128
131 214 113
132 62 116
132 116 192
135 72 200
136 97 137
136 164 134
137 141 185
137 153 136
138 102 212
138 133 87
138 155 133
139 63 143
139 170 65
139 216 170
140 176 213
140 213 125
141 137 97
142 127 129
143 63 172
144 123 148
144 169 109
145 133 155
146 113 147
146 248 166
147 263 267
147 270 146
148 124 149
148 149 178
149 166 167
150 118 182
150 179 108
151 120 119
151 152 120
151 164 204
151 204 277
151 277 187
152 151 187
152 157 120
153 203 164
154 188 218
154 218 219
155 138 209
155 208 145
155 209 208
156 142 157
156 171 142
156 220 171
156 236 237
157 152 236
157 236 156
158 225 299
158 253 130
159 106 165
159 141 106
159 165 262
159 185 141
159 279 185
161 162 163
163 174 122
163 175 206
163 199 174
164 136 153
164 151 134
164 203 204
165 132 192
165 192 264
166 76 77
166 112 146
167 166 248
168 115 181
168 244 247
169 110 109
169 144 186
169 186 296
169 193 110
172 64 210
173 161 110
173 162 161
173 193 221
173 202 162
174 199 205
175 162 202
175 163 162
175 202 231
175 231 206
176 121 174
176 174 201
177 72 154
177 154 219
177 222 72
178 149 167
178 167 292
178 229 148
179 150 182
179 180 108
180 223 224
180 224 239
180 239 244
180 244 181
181 108 180
181 244 168
182 183 184
182 184 179
183 213 245
183 245 184
184 180 179
184 223 180
185 153 137
185 240 153
186 144 148
186 148 229
186 334 301
187 236 152
188 65 170
189 190 128
190 189 251
190 214 131
190 263 214
191 170 216
191 188 170
191 216 342
192 116 258
192 258 293
193 169 296
193 173 110
194 189 195
194 195 196
194 226 227
194 251 189
195 128 127
195 189 128
195 242 196
196 226 194
196 273 226
197 160 198
197 266 212
198 160 253
198 269 197
199 163 206
200 72 222
200 222 379
201 174 205
201 205 230
201 228 176
201 285 256
201 350 285
202 173 221
203 240 306
204 203 233
205 199 230
208 207 145
208 259 207
209 138 212
209 267 208
209 268 267
210 64 207
210 207 255
210 255 280
211 172 210
211 210 280
211 280 302
212 102 197
213 183 215
213 228 246
213 246 245
214 263 147
215 125 213
215 183 182
216 139 143
216 143 217
216 217 345
217 143 172
217 172 211
218 188 191
218 385 367
219 375 222
219 399 374
220 260 171
221 193 321
221 232 202
221 339 232
222 177 219
223 184 245
223 245 257
223 265 234
224 234 235
224 235 238
225 135 200
225 200 327
226 273 272
227 226 275
227 251 194
228 201 256
228 213 176
229 178 292
229 334 186
229 376 389
230 199 206
230 206 252
230 350 201
231 202 232
231 282 284
233 203 306
233 305 346
234 224 223
234 265 278
237 220 156
237 236 311
237 303 220
238 239 224
238 249 239
239 249 250
239 250 244
240 203 153
240 279 316
240 313 306
241 196 242
241 273 196
241 274 273
242 195 260
243 235 288
243 238 235
243 288 295
244 250 247
245 246 257
246 228 256
247 250 287
247 293 258
248 146 271
248 271 289
249 238 254
249 254 290
250 249 290
251 259 263
251 263 190
252 206 231
252 231 286
253 158 298
254 238 243
254 243 295
254 295 343
255 259 261
255 261 280
256 285 257
257 246 256
257 265 223
257 297 265
258 168 247
259 251 261
259 255 207
259 267 263
260 195 171
260 220 304
260 281 242
261 251 227
262 165 264
