0 1 2
1 3 4
2 5 6
2 7 0
8 0 9
8 1 0
10 1 8
10 8 11
10 12 3
12 10 13
12 14 15
3 1 10
15 3 12
15 16 4
15 14 16
4 3 15
4 5 1
5 2 1
5 4 17
9 0 18
9 18 19
18 0 7
18 7 20
11 8 9
11 9 21
11 13 10
11 21 22
13 11 23
16 14 24
17 4 16
17 16 25
17 6 5
6 17 26
6 27 7
7 2 6
19 18 20
14 12 13
14 13 28
28 13 23
28 23 29
28 29 30
21 9 19
21 19 31
23 11 22
23 22 32
24 14 28
24 28 33
24 33 34
25 16 24
25 24 34
25 26 17
20 7 27
20 27 35
20 35 36
26 25 37
26 37 38
39 6 26
39 26 38
27 6 39
27 39 40
22 31 41
42 20 36
42 31 20
42 36 43
42 41 31
31 19 20
31 22 21
35 27 40
33 28 30
34 33 30
34 37 25
34 44 45
46 30 47
46 47 48
46 49 44
30 29 47
47 32 50
47 50 48
32 29 23
32 22 41
32 47 29
32 41 50
37 34 51
38 37 52
38 40 39
40 38 53
36 35 40
36 40 54
44 34 30
44 30 46
52 37 51
52 53 38
41 42 43
41 43 55
54 40 56
54 57 36
54 56 58
57 54 58
59 36 57
59 57 60
59 61 43
43 36 59
51 34 45
51 45 62
51 63 52
53 52 63
53 56 40
53 63 64
56 53 64
56 65 58
55 43 61
55 66 41
55 67 66
55 61 68
63 62 69
50 41 66
50 66 70
50 70 71
72 45 44
72 49 73
72 74 45
49 46 48
49 72 44
67 55 68
48 50 71
70 66 67
70 67 75
58 65 76
58 76 77
62 45 74
62 63 51
74 72 78
74 78 79
61 59 60
61 60 80
64 63 81
64 81 82
65 56 64
65 82 83
65 83 76
68 61 80
68 84 67
85 49 48
85 48 86
85 87 49
85 86 88
60 57 58
60 58 77
69 62 89
69 89 90
69 81 63
89 62 74
89 74 79
89 91 90
81 69 92
78 72 73
78 73 93
73 49 87
87 85 88
87 94 73
71 70 95
71 86 48
71 95 86
86 95 96
82 65 64
82 81 92
82 92 97
80 60 98
80 84 68
80 99 100
93 73 94
79 78 101
79 91 89
76 102 77
91 79 103
90 91 104
90 92 69
90 104 105
90 106 92
95 70 75
95 75 96
75 67 84
84 80 100
84 100 107
84 108 75
101 78 93
101 93 109
102 76 83
102 83 110
102 110 111
102 112 77
98 60 77
98 77 113
99 80 98
99 98 113
99 113 114
99 114 115
103 79 101
103 101 116
103 104 91
88 96 117
118 87 88
118 88 117
118 119 87
118 117 120
119 118 121
100 99 115
96 75 122
96 88 86
94 87 119
94 119 123
104 103 116
116 101 124
97 92 106
97 125 110
110 82 97
110 83 82
110 126 127
112 102 128
112 113 77
113 112 128
109 93 94
109 94 123
124 101 109
124 109 129
106 130 97
131 90 105
131 106 90
131 132 133
108 84 134
108 134 135
107 100 136
128 102 111
128 111 137
128 138 113
105 104 116
105 116 132
134 84 107
134 107 136
134 136 139
125 97 130
125 126 110
125 130 140
125 140 141
126 125 142
126 142 143
123 119 121
122 75 108
122 117 96
117 122 135
121 118 120
121 120 144
121 145 123
132 116 124
132 131 105
132 146 147
132 147 133
146 124 129
146 132 124
111 110 127
133 106 131
133 148 106
148 133 149
148 140 130
138 137 150
130 106 148
114 113 138
