0 1 2
2 3 0
1 0 4
4 5 1
4 0 3
5 2 1
2 6 7
2 7 8
3 2 8
4 3 9
4 10 5
11 9 3
2 5 12
6 2 12
9 13 4
8 7 14
10 4 13
10 12 5
11 3 8
14 15 8
7 16 14
9 11 17
6 16 7
12 10 18
12 18 19
6 12 20
18 10 13
11 8 17
17 21 9
6 20 22
13 9 21
20 12 19
16 6 22
18 13 23
17 8 15
20 19 24
15 14 25
15 21 17
24 26 20
19 18 24
24 18 23
16 25 14
16 22 27
28 13 21
28 23 13
22 20 26
25 16 29
15 25 30
22 26 31
24 23 32
27 22 31
32 26 24
28 21 33
21 15 33
29 16 27
30 25 29
32 23 34
34 23 28
33 15 30
29 27 35
27 31 35
34 28 36
32 37 26
37 31 26
29 35 38
28 33 39
40 31 37
32 34 41
30 29 38
34 42 41
36 28 39
33 38 39
38 33 30
42 34 36
37 32 41
40 37 41
35 31 40
36 39 43
41 44 45
44 41 42
42 36 46
40 47 35
44 42 46
48 49 50
40 41 45
43 46 36
51 38 35
38 43 39
49 48 52
35 47 51
47 40 45
48 50 53
53 54 48
48 54 52
55 43 38
47 45 56
55 38 51
53 50 57
55 51 58
51 59 58
56 45 44
52 60 49
61 50 49
44 62 56
52 54 63
54 53 64
64 53 57
65 47 56
65 51 47
46 43 66
59 51 65
57 50 61
60 52 67
61 49 60
43 55 68
44 66 62
63 54 64
57 61 69
57 69 70
71 72 73
67 52 63
72 71 74
66 43 68
66 44 46
75 64 57
57 70 75
69 61 60
68 55 58
72 76 73
65 56 77
69 60 78
71 73 79
68 58 80
74 71 81
70 69 77
73 76 79
59 82 58
59 65 83
77 84 70
77 56 85
68 86 66
77 69 87
63 64 88
65 77 87
85 56 62
78 60 89
65 87 83
82 59 83
90 70 84
72 74 91
75 70 90
84 77 85
81 71 79
67 63 88
75 88 64
92 74 81
74 92 91
89 60 67
66 86 93
66 93 62
90 84 94
83 87 95
67 88 96
93 86 97
85 62 93
88 75 98
86 68 80
82 80 58
87 69 78
76 72 91
90 98 75
89 67 96
79 99 81
92 81 100
88 98 96
97 86 80
97 80 101
87 78 102
103 78 89
79 76 104
89 96 103
82 105 80
83 95 106
83 106 82
100 81 99
102 78 103
100 107 92
91 92 107
99 79 104
84 85 108
94 84 108
95 87 102
85 93 109
80 110 101
106 105 82
105 110 80
96 98 111
104 76 91
112 91 107
113 100 99
108 85 109
98 90 111
95 102 114
104 91 112
100 113 107
103 96 111
94 111 90
113 99 115
99 104 116
102 103 117
101 118 97
93 97 118
106 110 105
101 110 119
110 106 120
121 104 112
112 107 122
115 99 116
106 95 123
104 121 116
119 110 124
113 115 125
126 107 113
124 110 120
109 93 118
126 113 125
103 111 127
94 128 111
122 107 129
130 131 132
121 112 122
132 124 130
120 106 123
115 133 125
116 134 115
135 101 119
136 95 114
130 124 120
126 129 107
114 102 117
117 103 127
108 109 137
119 124 138
135 139 118
125 140 126
134 133 115
140 125 133
128 94 108
130 141 131
111 128 127
118 101 135
123 95 136
141 120 123
141 130 120
127 128 142
128 108 137
138 124 132
133 131 143
133 132 131
133 134 132
144 132 134
134 145 144
134 116 145
141 123 146
117 127 147
135 119 138
109 118 139
131 141 143
140 133 143
135 148 139
142 128 149
117 147 114
137 149 128
150 140 143
132 144 138
109 139 151
126 152 129
136 114 153
129 154 122
122 154 121
144 155 138
138 156 135
157 152 140
114 147 158
126 140 152
149 137 159
137 109 151
150 157 140
116 121 160
127 142 161
135 156 148
153 114 158
150 143 162
116 160 145
143 141 163
138 155 156
139 164 151
141 146 163
142 165 161
162 143 163
137 151 159
160 154 166
154 160 121
167 144 145
127 168 147
155 144 167
164 139 148
152 169 129
168 127 161
146 123 136
146 136 170
149 159 165
154 129 166
150 162 171
145 172 167
166 173 160
152 157 174
165 142 149
158 147 175
174 169 152
169 166 129
175 147 168
172 160 173
172 145 160
166 169 176
157 150 171
176 173 166
163 146 177
165 178 161
162 163 179
151 180 159
168 161 181
169 174 176
156 155 182
164 180 151
155 167 182
161 178 183
163 184 179
165 159 178
164 148 185
176 172 173
186 174 157
148 156 187
177 146 170
175 188 158
153 170 136
163 177 184
185 148 187
179 171 162
156 182 187
186 157 189
190 159 180
180 191 192
191 180 164
187 182 193
178 159 190
194 177 170
186 176 174
172 195 167
188 153 158
153 188 196
168 197 175
176 186 198
176 195 172
183 181 161
179 184 199
189 157 171
170 153 200
195 176 201
185 191 164
201 176 198
185 187 193
179 199 202
182 167 195
184 177 203
200 194 170
168 181 204
197 168 204
190 180 192
205 191 206
206 191 185
198 186 207
192 191 205
201 208 195
189 171 209
171 179 202
175 197 188
200 153 196
210 194 200
184 211 199
182 195 212
206 185 213
207 186 189
203 177 194
209 171 202
209 214 189
195 208 212
208 201 214
181 215 204
208 214 216
217 192 205
206 218 205
194 210 219
181 183 220
221 222 218
223 221 218
224 193 182
218 222 217
211 184 203
214 201 198
214 198 207
197 225 226
219 203 194
190 183 178
217 205 218
227 222 221
202 199 211
209 202 228
216 214 209
223 227 221
214 207 189
196 188 226
218 229 223
209 228 230
192 231 190
204 215 232
209 230 216
215 181 220
218 206 229
226 188 197
213 185 193
219 211 203
204 225 197
231 192 217
212 208 216
212 216 233
216 230 234
222 227 235
227 223 236
183 190 237
224 182 212
204 232 238
200 196 239
200 239 210
211 228 202
240 217 222
213 229 206
231 217 241
