0 1 2
1 6 8
2 9 16
2 17 0
3 0 10
3 1 0
4 1 3
4 3 12
4 5 6
5 4 13
5 19 7
6 1 4
7 6 5
7 14 8
7 19 14
8 6 7
8 9 1
9 2 1
9 8 15
10 0 11
10 11 18
11 0 17
11 17 25
12 3 10
12 10 21
12 13 4
12 21 30
13 12 22
14 19 23
15 8 14
15 14 24
15 16 9
16 15 26
16 28 17
17 2 16
18 11 25
19 5 13
19 13 20
20 13 22
20 22 29
20 29 37
21 10 18
21 18 32
22 12 30
22 30 39
23 19 20
23 20 34
23 34 35
24 14 23
24 23 35
24 26 15
25 17 28
25 28 33
25 33 43
26 24 40
26 40 41
27 16 26
27 26 41
28 16 27
28 27 42
30 32 46
31 25 43
31 32 25
31 43 50
31 46 32
32 18 25
32 30 21
33 28 42
34 20 37
35 34 37
35 40 24
35 44 52
36 37 38
36 38 62
36 60 44
37 29 38
38 39 57
38 57 62
39 29 22
39 30 46
39 38 29
39 46 57
40 35 51
41 40 45
41 42 27
42 41 53
43 33 42
43 42 47
44 35 37
44 37 36
45 40 51
45 53 41
46 31 50
46 50 55
47 42 54
47 48 43
47 54 64
48 47 64
49 43 48
49 48 72
49 67 50
50 43 49
51 35 52
51 52 65
51 56 45
53 45 56
53 54 42
53 56 68
54 53 68
54 69 64
55 50 67
55 58 46
55 61 58
55 67 70
56 65 73
57 46 58
57 58 63
57 63 79
59 52 44
59 60 77
59 66 52
60 36 62
60 59 44
61 55 70
62 57 79
63 58 61
63 61 89
64 69 85
64 85 94
65 52 66
65 56 51
66 59 76
66 76 84
67 49 72
67 72 82
68 56 75
68 75 81
69 54 68
69 81 91
69 91 85
70 67 82
70 90 61
71 60 62
71 62 80
71 78 60
71 80 99
72 48 64
72 64 94
73 65 74
73 74 87
73 75 56
74 65 66
74 66 84
74 86 87
75 73 98
76 59 77
76 77 83
77 60 78
78 71 99
78 104 77
79 63 88
79 80 62
79 88 80
80 88 103
81 69 68
81 75 98
81 98 107
82 72 95
82 90 70
82 96 102
83 77 104
84 76 92
84 86 74
85 93 94
86 84 97
87 86 105
87 98 73
87 105 118
87 113 98
88 63 89
88 89 103
89 61 90
90 82 102
90 102 116
90 115 89
92 76 83
92 83 111
93 85 91
93 91 108
93 108 128
93 109 94
95 72 94
95 94 110
96 82 95
96 95 110
96 110 133
96 133 136
97 84 92
97 92 106
97 105 86
99 103 124
100 78 99
100 99 124
100 101 78
100 124 138
101 100 125
102 96 136
103 89 123
103 99 80
104 78 101
104 101 122
105 97 106
106 92 112
107 98 113
107 120 108
108 81 107
108 91 81
108 121 143
109 93 117
109 110 94
110 109 117
111 83 104
111 104 122
112 92 111
112 111 140
113 132 107
114 87 118
114 113 87
114 126 129
115 90 119
115 119 137
116 102 150
117 93 128
117 128 144
117 131 110
118 105 106
118 106 126
119 90 116
119 116 150
119 150 171
120 107 132
120 121 108
120 132 142
120 142 152
121 120 151
121 151 154
122 101 125
123 89 115
123 124 103
124 123 137
125 100 138
125 138 148
125 156 122
126 106 112
126 114 118
126 127 135
126 135 129
127 112 140
127 126 112
128 108 143
129 113 114
