1 2 3
2 7 9
3 10 17
3 18 1
4 1 11
4 2 1
5 2 4
5 4 13
5 6 7
6 5 14
6 20 8
7 2 5
8 7 6
8 15 9
8 20 15
9 7 8
9 10 2
10 3 2
10 9 16
11 1 12
11 12 19
12 1 18
12 18 26
13 4 11
13 11 22
13 14 5
13 22 31
14 13 23
15 20 24
16 9 15
16 15 25
16 17 10
17 16 27
17 29 18
18 3 17
19 12 26
20 6 14
20 14 21
21 14 23
21 23 30
21 30 38
22 11 19
22 19 33
23 13 31
23 31 40
24 20 21
24 21 35
24 35 36
25 15 24
25 24 36
25 27 16
26 18 29
26 29 34
26 34 44
27 25 41
27 41 42
28 17 27
28 27 42
29 17 28
29 28 43
31 33 47
32 26 44
32 33 26
32 44 51
32 47 33
33 19 26
33 31 22
34 29 43
35 21 38
36 35 38
36 41 25
36 45 53
37 38 39
37 39 63
37 61 45
38 30 39
39 40 58
39 58 63
40 30 23
40 31 47
40 39 30
40 47 58
41 36 52
42 41 46
42 43 28
43 42 54
44 34 43
44 43 48
45 36 38
45 38 37
46 41 52
46 54 42
47 32 51
47 51 56
48 43 55
48 49 44
48 55 65
49 48 65
50 44 49
50 49 73
50 68 51
51 44 50
52 36 53
52 53 66
52 57 46
54 46 57
54 55 43
54 57 69
55 54 69
55 70 65
56 51 68
56 59 47
56 62 59
56 68 71
57 66 74
58 47 59
58 59 64
58 64 80
60 53 45
60 61 78
60 67 53
61 37 63
61 60 45
62 56 71
63 58 80
64 59 62
64 62 90
65 70 86
65 86 95
66 53 67
66 57 52
67 60 77
67 77 85
68 50 73
68 73 83
69 57 76
69 76 82
70 55 69
70 82 92
70 92 86
71 68 83
71 91 62
72 61 63
72 63 81
72 79 61
72 81 100
73 49 65
73 65 95
74 66 75
74 75 88
74 76 57
75 66 67
75 67 85
75 87 88
76 74 99
77 60 78
77 78 84
78 61 79
79 72 100
79 105 78
80 64 89
80 81 63
80 89 81
81 89 104
82 70 69
82 76 99
82 99 108
83 73 96
83 91 71
83 97 103
84 78 105
85 77 93
85 87 75
86 94 95
87 85 98
88 87 106
88 99 74
88 106 119
88 114 99
89 64 90
89 90 104
90 62 91
91 83 103
