0 1 2
0 3 5
0 10 1
1 7 2
2 12 3
3 0 2
3 4 5
4 13 18
5 4 17
5 11 0
5 17 23
6 7 8
6 8 22
7 1 14
7 9 2
8 7 14
8 14 19
9 7 6
9 12 2
10 0 11
10 34 1
11 23 28
11 24 10
12 4 3
12 9 15
12 13 4
12 15 13
13 15 16
13 16 21
14 1 34
14 29 19
15 6 22
15 9 6
16 15 20
16 20 42
17 4 18
17 18 46
18 13 27
18 27 44
19 29 35
20 22 47
21 16 33
21 27 13
21 33 31
22 8 19
22 19 47
22 20 15
23 11 5
24 11 28
24 25 10
25 26 59
25 48 34
26 25 24
26 30 74
26 74 59
27 21 31
28 23 32
28 30 24
28 49 30
29 34 36
30 26 24
30 49 70
31 33 63
31 45 27
31 63 90
31 90 105
32 17 46
32 23 17
32 40 28
32 46 56
33 16 42
33 42 63
34 10 25
34 29 14
36 34 48
36 35 29
36 48 98
36 98 99
37 38 39
37 43 38
37 58 61
38 51 39
39 51 50
39 58 37
40 32 41
40 49 28
40 73 49
41 32 56
41 73 40
42 20 47
43 37 54
43 54 53
43 60 38
44 27 45
44 66 46
45 31 105
46 18 44
47 19 78
47 71 42
48 25 59
48 64 98
49 73 69
50 51 52
50 52 80
51 60 57
52 51 57
52 57 80
53 54 55
54 37 62
54 62 79
55 54 79
55 79 116
55 101 53
56 46 66
56 66 83
56 82 41
57 60 72
58 39 50
58 50 81
59 74 111
60 43 75
60 51 38
61 58 81
62 37 61
63 42 71
63 71 92
64 48 59
64 59 111
65 35 36
65 36 99
65 99 127
65 128 93
66 44 87
67 41 82
67 68 69
67 73 41
68 85 69
69 73 67
69 85 95
70 49 69
70 69 95
70 95 108
71 47 76
72 60 75
72 86 57
72 97 86
74 30 70
74 70 108
75 43 53
76 47 78
76 93 141
77 71 76
77 76 141
78 19 35
78 35 93
78 93 76
79 61 106
79 62 61
80 57 86
80 86 109
81 50 80
81 80 109
82 56 83
82 83 103
82 102 84
83 66 87
83 87 118
83 118 136
84 67 82
84 68 67
84 85 68
85 84 94
85 94 115
86 97 114
87 44 89
88 61 81
88 81 100
88 107 61
89 44 45
89 45 105
89 110 142
89 142 118
90 92 125
91 53 101
91 75 53
92 71 77
92 77 139
92 90 63
93 35 65
93 128 153
94 84 113
94 96 112
95 85 115
96 72 75
96 75 91
96 94 97
97 72 96
97 94 113
98 64 126
99 98 126
99 126 137
100 81 109
100 109 133
100 130 88
101 55 117
101 117 134
101 119 91
102 82 103
102 113 84
103 83 136
103 104 102
103 136 155
104 103 155
104 138 113
105 90 125
105 110 89
105 125 148
106 61 107
106 107 129
107 88 130
108 95 122
108 122 135
109 86 114
110 105 148
111 74 108
111 108 135
111 124 64
111 135 164
111 164 151
112 96 91
112 115 94
112 119 120
113 102 104
114 97 113
114 113 138
114 123 109
115 112 121
115 121 122
116 79 106
116 106 129
117 55 116
117 116 144
118 87 89
118 142 145
119 101 134
119 112 91
120 134 161
121 112 120
121 120 146
122 95 115
122 121 147
124 111 151
124 151 177
124 171 126
125 92 139
125 140 150
125 150 148
126 64 124
127 99 137
127 137 152
128 65 127
128 127 149
129 107 130
129 132 116
129 162 132
130 100 131
130 131 162
131 100 133
131 133 158
132 162 174
132 174 175
133 109 123
133 123 154
133 154 159
134 117 144
134 120 119
134 144 163
137 126 171
137 171 152
138 104 155
138 123 114
138 154 123
139 77 141
139 140 125
140 139 143
140 143 172
141 93 157
141 143 139
142 110 169
143 141 157
144 116 170
145 136 118
145 142 169
146 120 161
146 147 121
146 161 182
147 146 178
147 156 122
148 160 110
149 152 192
149 184 128
150 140 183
150 176 160
150 183 186
152 149 127
152 171 192
153 128 184
153 184 194
154 155 167
155 136 166
155 154 138
156 135 122
156 147 178
156 164 135
157 93 153
157 153 190
157 173 143
158 133 159
158 159 165
158 162 131
158 185 162
159 154 179
159 179 165
160 148 150
160 168 169
161 163 196
162 129 130
163 144 170
163 161 134
164 156 187
164 187 206
164 191 151
165 198 207
166 136 145
166 145 193
166 167 155
167 166 215
168 160 176
168 176 235
168 210 169
169 110 160
169 209 145
170 116 132
170 132 181
170 204 163
171 124 177
172 143 173
173 157 180
174 162 185
174 185 203
175 174 217
176 150 186
176 186 221
177 151 191
177 191 228
177 202 171
178 146 182
178 182 188
178 187 156
178 200 213
179 154 167
179 167 198
179 198 165
180 157 190
180 190 249
180 223 173
180 249 223
181 132 175
181 175 217
181 204 170
182 161 188
183 140 172
183 172 173
183 173 222
183 222 230
183 230 186
184 149 192
185 158 165
185 165 189
187 212 206
188 196 201
188 200 178
189 165 207
190 153 194
190 194 214
191 164 206
191 206 231
192 171 202
193 145 209
193 205 166
193 209 241
194 184 195
194 195 248
195 184 192
195 192 211
196 163 229
196 188 161
197 178 213
197 187 178
199 198 167
199 208 198
199 215 226
199 218 208
200 188 201
200 218 227
201 196 216
201 218 200
202 177 228
202 237 243
202 243 211
203 185 189
203 189 224
203 220 217
204 181 217
204 220 229
204 229 163
205 193 241
205 215 166
207 198 208
207 219 233
207 232 189
208 219 207
209 169 210
209 210 253
210 168 235
