0 1 2
2 1 3
0 2 4
5 0 4
6 7 8
9 1 10
0 5 10
5 4 7
1 0 10
3 9 11
3 1 9
7 4 8
4 2 12
6 5 7
13 2 3
10 5 14
2 13 12
6 8 15
8 4 16
15 5 6
14 5 15
14 17 10
17 18 10
16 4 12
9 10 18
15 8 16
14 12 19
14 16 12
3 11 20
15 16 14
13 3 20
13 21 12
13 20 21
19 12 21
17 14 19
19 21 22
17 19 22
23 24 25
25 26 23
18 27 9
11 9 28
17 29 18
26 25 30
20 31 21
22 29 17
28 9 27
20 11 28
30 25 32
29 22 31
33 24 23
31 22 21
34 27 18
23 26 35
30 32 36
28 37 20
28 27 38
29 34 18
27 39 38
25 24 32
26 30 35
37 28 40
34 39 27
23 35 33
38 39 41
28 38 40
40 42 37
40 38 41
39 34 43
29 31 44
35 30 36
31 20 45
44 34 29
24 33 46
41 39 43
20 37 45
32 24 46
36 32 47
43 34 48
47 32 46
41 49 40
45 37 50
34 44 48
43 48 51
42 50 37
33 35 52
40 49 42
41 43 53
54 31 45
46 33 52
41 53 49
44 31 54
55 44 54
48 44 55
52 35 56
43 51 53
57 49 53
35 36 56
42 49 57
45 50 54
57 53 58
42 57 50
48 55 51
53 51 58
56 57 59
47 60 36
59 57 58
57 56 61
52 56 59
62 54 50
56 36 60
54 62 55
47 46 63
55 62 51
52 63 46
62 50 64
61 56 60
51 62 65
51 65 58
61 50 57
59 58 65
64 50 66
61 66 50
47 63 67
65 62 64
65 64 68
69 66 61
60 69 61
47 67 60
64 70 68
66 70 64
67 63 71
59 65 72
63 52 59
73 69 60
63 59 74
66 69 75
75 69 73
73 60 76
60 67 71
72 65 68
66 75 70
74 59 72
72 68 77
74 72 77
77 68 70
63 78 71
76 60 71
70 75 79
73 76 75
80 63 74
71 81 82
70 83 77
70 79 83
76 84 85
78 63 80
78 81 71
82 84 71
86 79 75
83 79 87
77 83 74
76 85 86
76 86 75
84 76 71
79 86 88
78 80 89
74 90 80
82 91 84
85 84 92
83 90 74
92 84 91
88 87 79
86 85 92
93 81 78
88 86 94
78 89 95
86 92 94
78 95 93
87 90 83
92 91 96
89 80 90
88 97 87
82 81 93
97 90 87
90 97 89
82 98 99
94 92 100
94 100 101
88 94 101
92 96 102
97 88 101
91 82 99
100 92 102
98 82 93
103 97 101
89 97 103
100 104 101
95 89 103
91 99 105
98 93 106
105 96 91
96 105 107
106 93 95
106 108 98
109 96 107
109 102 96
104 100 102
104 102 110
105 111 107
102 109 110
95 103 112
99 98 108
107 111 113
107 113 114
105 115 111
109 107 114
114 116 109
105 99 115
117 103 101
117 101 104
112 103 117
116 114 118
114 113 119
113 111 120
118 114 119
115 99 108
115 108 121
113 120 119
112 106 95
104 110 122
116 118 123
104 122 117
111 115 124
110 125 122
108 106 126
118 119 127
124 115 121
121 108 126
126 106 112
112 122 128
112 128 126
121 126 129
116 110 109
127 119 130
119 120 130
122 112 117
120 111 124
124 121 131
130 120 132
133 118 127
131 121 129
134 110 116
122 125 128
134 125 110
118 133 123
124 135 120
125 134 136
116 123 134
127 130 137
137 130 138
135 124 131
130 132 138
132 120 135
127 139 133
140 127 137
139 127 140
137 141 142
139 143 133
140 144 139
145 144 140
139 144 143
140 137 142
133 146 123
132 135 147
141 137 138
142 145 140
126 128 148
145 149 144
128 125 150
151 152 153
129 126 148
146 133 143
128 150 148
131 129 154
144 149 155
144 155 143
142 156 145
152 149 153
157 151 153
155 149 152
132 147 158
159 148 150
153 149 157
147 135 160
161 155 152
145 162 149
145 156 162
150 125 136
158 147 163
158 138 132
162 157 149
160 135 131
146 164 165
134 123 146
143 155 164
154 129 148
154 148 166
164 146 143
167 138 158
138 168 141
169 157 162
164 155 161
136 134 170
138 167 168
151 157 171
169 171 157
167 158 172
161 152 173
173 152 151
173 151 174
134 146 170
146 175 170
131 154 160
160 163 147
171 176 151
150 136 177
172 158 163
174 151 176
141 178 142
166 148 159
178 156 142
179 141 168
171 169 180
156 181 162
169 162 181
178 181 156
178 182 183
167 172 184
146 165 175
163 185 172
183 181 178
161 173 186
180 187 171
178 141 179
171 187 176
182 178 179
136 188 177
189 185 163
184 168 167
159 150 177
181 183 190
172 185 184
190 169 181
182 179 191
176 192 174
170 175 193
191 179 168
180 169 190
165 164 194
