0 1 2
0 3 4
0 5 1
1 6 2
2 7 3
3 0 2
3 8 4
8 9 10
4 8 11
4 12 0
4 11 13
14 6 15
14 15 16
6 1 17
6 18 2
15 6 17
15 17 19
18 6 14
18 7 2
5 0 12
5 20 1
12 13 21
12 22 5
7 8 3
7 18 23
7 9 8
7 23 9
9 23 24
9 24 25
17 1 20
17 26 19
23 14 16
23 18 14
24 23 27
24 27 28
11 8 10
11 10 29
10 9 30
10 30 31
19 26 32
27 16 33
25 24 34
25 30 9
25 34 35
16 15 19
16 19 33
16 27 23
13 12 4
22 12 21
22 36 5
36 37 38
36 39 20
37 36 22
37 40 41
37 41 38
30 25 35
21 13 42
21 40 22
21 43 40
26 20 44
40 37 22
40 43 45
35 34 46
35 47 30
35 46 48
35 48 49
42 11 29
42 13 11
42 50 21
42 29 51
34 24 28
34 28 46
20 5 36
20 26 17
44 20 39
44 32 26
44 39 52
44 52 53
54 55 56
54 57 55
54 58 59
55 60 56
56 60 61
56 58 54
50 42 62
50 43 21
50 63 43
62 42 51
62 63 50
28 27 33
57 54 64
57 64 65
57 66 55
31 30 47
31 67 29
47 35 49
29 10 31
33 19 68
33 69 28
39 36 38
39 70 52
43 63 71
61 60 72
61 72 73
60 66 74
72 60 74
72 74 73
65 64 75
64 54 76
64 76 77
75 64 77
75 77 78
75 79 65
51 29 67
51 67 80
51 81 62
74 66 82
58 56 61
58 61 83
38 41 84
66 57 85
66 60 55
59 58 83
76 54 59
46 28 69
46 69 86
70 39 38
70 38 84
87 32 44
87 44 53
87 53 88
87 89 90
67 31 91
92 62 81
92 93 71
92 63 62
93 94 71
71 63 92
71 94 95
45 43 71
45 71 95
45 95 96
69 33 97
82 66 85
82 98 74
82 99 98
41 40 45
41 45 96
85 57 65
97 33 68
97 90 100
101 69 97
101 97 100
68 19 32
68 32 90
68 90 97
77 59 102
77 76 59
73 74 98
73 98 103
83 61 73
83 73 103
81 51 80
81 80 104
81 105 106
80 67 91
80 91 107
80 107 108
106 92 81
106 93 92
106 94 93
94 106 109
94 109 110
98 99 111
91 31 112
113 59 83
113 83 114
113 115 59
112 31 47
112 47 49
112 116 117
112 117 107
48 86 118
119 65 79
119 85 65
86 69 101
86 101 120
86 48 46
90 32 87
90 89 121
109 106 122
109 123 124
95 94 110
123 82 85
123 85 119
123 109 99
99 82 123
99 109 122
52 70 125
53 52 125
53 125 126
114 83 103
114 103 127
114 128 113
79 75 129
79 129 130
79 131 119
105 81 104
105 122 106
104 80 108
104 132 105
104 108 133
132 104 133
132 134 122
49 48 118
49 116 112
49 118 135
102 59 115
102 115 136
115 113 128
96 95 137
96 137 138
103 98 111
116 49 135
84 41 96
84 96 138
84 139 70
84 138 140
84 140 141
124 123 119
124 110 109
124 131 142
122 105 132
111 99 122
111 122 134
111 143 103
110 124 144
110 144 137
78 77 102
78 102 136
129 75 78
129 78 145
107 91 112
107 117 146
131 79 130
131 124 119
142 130 147
144 124 142
144 142 148
137 95 110
137 144 149
139 84 141
139 141 150
139 151 125
118 86 120
118 152 153
118 153 135
125 70 139
88 53 126
88 126 154
89 87 88
89 88 155
136 115 128
136 156 78
136 157 156
128 114 158
128 158 157
158 114 127
158 127 159
156 157 160
156 160 161
127 103 143
127 143 162
127 162 163
130 129 145
130 142 131
130 145 164
126 125 151
126 151 154
134 132 133
134 143 111
134 162 143
120 101 100
120 152 118
152 120 165
152 165 166
100 90 167
100 165 120
117 116 168
165 100 167
145 78 169
146 108 107
146 117 168
148 142 147
148 149 144
148 147 170
149 148 171
149 172 137
135 173 116
155 154 174
155 175 89
153 152 176
153 177 173
153 176 178
154 155 88
154 151 174
121 89 175
121 175 179
162 133 180
133 108 181
133 162 134
172 138 137
172 149 171
172 140 138
167 90 121
