0 1 2
3 4 5
5 6 7
8 9 10
0 6 1
0 11 12
13 5 14
14 5 4
13 6 5
10 15 8
10 16 15
9 17 10
3 7 18
13 19 20
8 21 9
11 0 2
21 22 9
23 13 14
12 18 7
7 6 12
6 13 20
6 20 1
12 24 18
7 3 5
12 6 0
16 10 17
3 25 26
11 24 12
27 28 19
18 25 3
28 29 20
28 20 19
19 13 23
19 23 30
4 3 26
20 29 1
25 31 26
32 24 11
32 11 33
18 24 32
34 23 14
30 27 19
22 35 9
23 36 30
2 37 38
1 37 2
22 21 39
11 2 40
41 4 42
41 42 15
4 26 42
29 43 37
16 41 15
44 8 15
44 15 45
27 46 28
37 1 29
15 42 45
36 23 34
47 42 26
34 14 16
41 14 4
33 48 32
33 11 40
41 16 14
42 49 45
25 18 32
50 38 37
16 17 51
37 52 50
51 17 53
17 9 53
54 55 56
57 58 56
58 54 56
49 42 47
27 30 46
33 40 59
33 59 48
53 9 35
53 35 60
38 50 61
62 54 58
62 58 63
38 40 2
43 29 28
21 8 44
21 44 64
25 32 65
66 28 46
31 67 26
55 54 68
51 34 16
54 62 68
52 61 50
63 69 62
49 70 71
47 26 72
47 72 70
35 22 73
36 34 51
49 47 70
31 65 74
43 52 37
72 26 67
75 44 45
71 45 49
45 71 75
58 57 76
39 21 64
36 51 77
65 31 25
67 31 74
61 52 78
68 62 79
38 61 80
38 80 81
67 82 72
30 83 46
56 84 57
67 74 82
51 53 77
83 36 85
77 86 36
87 43 28
87 88 52
52 43 87
81 80 89
65 32 90
46 83 91
48 92 32
91 66 46
75 64 44
69 79 62
52 88 78
66 87 28
63 58 76
63 93 69
36 86 85
94 40 38
73 22 39
73 39 95
90 32 92
57 91 83
66 96 97
70 72 98
91 57 84
87 66 99
84 56 100
36 83 30
71 101 75
78 88 102
80 61 78
91 103 66
57 83 76
70 104 71
103 91 84
84 105 103
106 82 74
77 53 60
77 60 107
84 100 105
69 108 79
87 99 109
88 87 109
110 56 55
110 100 56
81 94 38
99 66 97
96 66 103
59 40 94
76 83 85
79 111 68
102 112 78
70 98 104
74 65 113
98 114 104
107 86 77
64 75 101
85 115 76
82 98 72
95 39 116
39 64 116
106 74 113
48 59 117
78 112 118
78 118 80
93 63 76
119 60 73
119 73 120
81 89 121
109 122 88
93 76 115
69 93 123
55 68 124
111 124 68
73 60 35
116 64 101
90 113 65
90 125 113
98 82 126
102 88 122
48 127 92
85 86 128
79 108 129
130 109 99
130 131 109
115 85 128
80 118 89
128 107 132
128 86 107
93 115 123
110 55 124
95 120 73
115 128 133
118 112 134
106 113 135
106 135 136
106 137 82
107 60 132
125 92 127
113 125 138
89 118 134
96 103 139
130 99 97
127 48 140
92 125 90
105 141 142
119 120 143
111 144 124
111 79 129
145 101 71
104 145 71
108 69 123
114 98 126
138 135 113
142 103 105
112 102 146
112 146 147
148 135 149
97 150 130
112 147 134
137 126 82
140 48 117
81 121 151
81 151 94
149 135 138
149 138 152
139 103 142
122 109 131
122 131 153
154 117 59
102 122 146
155 129 108
156 101 145
123 155 108
120 95 157
123 115 133
158 104 114
110 124 159
97 96 150
94 151 160
105 100 141
127 161 125
106 136 137
150 96 139
136 135 148
59 94 160
138 125 161
133 128 132
136 148 162
116 101 156
144 111 129
100 110 159
163 144 129
132 60 119
119 143 164
143 120 157
146 122 153
121 89 134
130 150 165
166 137 136
152 138 161
150 139 167
154 59 160
148 168 162
149 168 148
157 95 169
157 169 170
129 155 171
95 116 169
132 119 164
132 172 133
163 129 171
158 145 104
114 126 173
165 150 167
130 165 174
166 136 162
168 149 152
168 152 175
152 176 175
100 159 177
156 169 116
156 145 178
123 133 155
141 100 177
179 117 154
179 140 117
164 180 132
158 114 173
152 161 176
142 141 181
121 182 183
161 184 176
153 185 186
187 134 147
187 147 188
151 121 183
137 189 190
124 191 159
155 133 192
161 127 193
173 126 190
126 137 190
157 170 194
131 130 174
143 157 195
143 195 164
182 121 134
182 134 187
182 187 196
188 147 146
146 186 188
139 142 181
186 146 153
153 131 197
169 156 198
188 196 187
191 124 144
199 159 191
179 127 140
137 166 189
177 159 199
164 195 200
193 127 179
161 193 184
158 173 201
197 131 174
170 169 198
160 151 183
160 183 202
164 200 180
186 203 204
183 182 205
195 157 194
185 153 197
194 170 198
198 156 178
192 133 206
172 206 133
179 154 207
208 144 163
178 145 209
192 171 155
