"normal_distance","arc_length","Points:0","Points:1","Points:2"
0.42723,0,77.001,57.765,72.897
0.44456,0.077571,76.999,57.734,72.968
0.48518,0.15514,76.996,57.704,73.04
0.5822,0.23271,76.994,57.673,73.111
0.67921,0.31027,76.992,57.643,73.182
0.77623,0.38784,76.99,57.612,73.254
0.87324,0.46542,76.988,57.582,73.325
0.97025,0.54298,76.985,57.551,73.396
1.0673,0.62055,76.983,57.52,73.467
1.1643,0.69812,76.981,57.49,73.539
1.2613,0.77569,76.979,57.459,73.61
1.3583,0.85325,76.977,57.429,73.681
1.4553,0.93082,76.975,57.398,73.752
1.5523,1.0084,76.972,57.368,73.824
1.6494,1.086,76.97,57.337,73.895
1.7464,1.1635,76.968,57.307,73.966
1.8434,1.2411,76.966,57.276,74.037
1.9404,1.3187,76.964,57.245,74.109
2.0374,1.3962,76.961,57.215,74.18
2.1344,1.4738,76.959,57.184,74.251
2.2314,1.5514,76.957,57.154,74.322
2.3285,1.6289,76.955,57.123,74.394
2.4255,1.7065,76.953,57.093,74.465
2.5225,1.7841,76.95,57.062,74.536
2.6195,1.8616,76.948,57.032,74.608
2.7165,1.9392,76.946,57.001,74.679
2.8135,2.0168,76.944,56.97,74.75
2.9105,2.0944,76.942,56.94,74.821
3.0076,2.1719,76.94,56.909,74.893
3.1046,2.2495,76.937,56.879,74.964
3.2016,2.3271,76.935,56.848,75.035
3.2986,2.4046,76.933,56.818,75.106
3.3956,2.4822,76.931,56.787,75.178
3.4926,2.5598,76.929,56.757,75.249
3.5896,2.6373,76.926,56.726,75.32
3.6867,2.7149,76.924,56.695,75.391
3.7837,2.7925,76.922,56.665,75.463
3.8807,2.87,76.92,56.634,75.534
3.9777,2.9476,76.918,56.604,75.605
4.0747,3.0252,76.915,56.573,75.676
4.1717,3.1027,76.913,56.543,75.748
4.2687,3.1803,76.911,56.512,75.819
4.3658,3.2579,76.909,56.482,75.89
4.4628,3.3354,76.907,56.451,75.962
4.5598,3.413,76.905,56.42,76.033
4.6568,3.4906,76.902,56.39,76.104
4.7538,3.5682,76.9,56.359,76.175
4.8508,3.6457,76.898,56.329,76.247
4.9479,3.7233,76.896,56.298,76.318
5.0449,3.8009,76.894,56.268,76.389
5.1419,3.8784,76.891,56.237,76.46
5.2389,3.956,76.889,56.207,76.532
5.3359,4.0336,76.887,56.176,76.603
5.4329,4.1111,76.885,56.145,76.674
5.5299,4.1887,76.883,56.115,76.745
5.6269,4.2663,76.88,56.084,76.817
5.724,4.3438,76.878,56.054,76.888
5.821,4.4214,76.876,56.023,76.959
5.918,4.499,76.874,55.993,77.03
6.015,4.5765,76.872,55.962,77.102
6.112,4.6541,76.87,55.932,77.173
6.209,4.7317,76.867,55.901,77.244
6.3061,4.8092,76.865,55.87,77.316
6.4031,4.8868,76.863,55.84,77.387
6.4922,4.9644,76.861,55.809,77.458
6.5738,5.042,76.859,55.779,77.529
6.6491,5.1195,76.856,55.748,77.601
6.7076,5.1971,76.854,55.718,77.672
6.7661,5.2747,76.852,55.687,77.743
6.8246,5.3522,76.85,55.656,77.814
6.8831,5.4298,76.848,55.626,77.886
6.9416,5.5074,76.845,55.595,77.957
7,5.5849,76.843,55.565,78.028
7.0585,5.6625,76.841,55.534,78.099
7.117,5.7401,76.839,55.504,78.171
7.1755,5.8176,76.837,55.473,78.242
7.234,5.8952,76.835,55.443,78.313
7.2925,5.9728,76.832,55.412,78.384
7.351,6.0503,76.83,55.381,78.456
7.4095,6.1279,76.828,55.351,78.527
7.4679,6.2055,76.826,55.32,78.598
7.5264,6.283,76.824,55.29,78.67
7.5849,6.3606,76.821,55.259,78.741
7.6434,6.4382,76.819,55.229,78.812
7.7019,6.5157,76.817,55.198,78.883
7.7604,6.5933,76.815,55.168,78.955
7.8189,6.6709,76.813,55.137,79.026
7.8774,6.7485,76.81,55.106,79.097
7.9359,6.826,76.808,55.076,79.168
7.9943,6.9036,76.806,55.045,79.24
8.0528,6.9812,76.804,55.015,79.311
8.1113,7.0587,76.802,54.984,79.382
8.1698,7.1363,76.799,54.954,79.453
8.2283,7.2139,76.797,54.923,79.525
8.2868,7.2914,76.795,54.893,79.596
8.3453,7.369,76.793,54.862,79.667
8.4038,7.4466,76.791,54.831,79.738
8.4622,7.5241,76.789,54.801,79.81
8.5207,7.6017,76.786,54.77,79.881
8.5792,7.6793,76.784,54.74,79.952
8.6389,7.7568,76.782,54.709,80.023
8.7062,7.8344,76.78,54.679,80.095
8.7736,7.912,76.778,54.648,80.166
8.8409,7.9895,76.775,54.618,80.237
8.9083,8.0671,76.773,54.587,80.309
8.9756,8.1447,76.771,54.556,80.38
9.0429,8.2222,76.769,54.526,80.451
9.1103,8.2998,76.767,54.495,80.522
9.1776,8.3774,76.765,54.465,80.594
9.245,8.455,76.762,54.434,80.665
9.3123,8.5325,76.76,54.404,80.736
9.3796,8.6101,76.758,54.373,80.807
9.447,8.6877,76.756,54.343,80.879
9.5143,8.7652,76.754,54.312,80.95
9.5817,8.8428,76.751,54.281,81.021
9.649,8.9204,76.749,54.251,81.092
9.7163,8.9979,76.747,54.22,81.164
9.7837,9.0755,76.745,54.19,81.235
9.851,9.1531,76.743,54.159,81.306
9.9184,9.2306,76.74,54.129,81.377
9.9857,9.3082,76.738,54.098,81.449
10.053,9.3858,76.736,54.068,81.52
10.12,9.4633,76.734,54.037,81.591
10.188,9.5409,76.732,54.006,81.663
10.26,9.6185,76.729,53.976,81.734
10.341,9.696,76.727,53.945,81.805
10.421,9.7736,76.725,53.915,81.876
10.501,9.8512,76.723,53.884,81.948
10.581,9.9288,76.721,53.854,82.019
10.661,10.006,76.719,53.823,82.09
10.742,10.084,76.716,53.793,82.161
10.822,10.161,76.714,53.762,82.233
10.902,10.239,76.712,53.731,82.304
10.982,10.317,76.71,53.701,82.375
11.063,10.394,76.708,53.67,82.446
11.143,10.472,76.705,53.64,82.518
11.223,10.549,76.703,53.609,82.589
11.303,10.627,76.701,53.579,82.66
11.384,10.704,76.699,53.548,82.731
11.464,10.782,76.697,53.518,82.803
11.544,10.86,76.694,53.487,82.874
11.624,10.937,76.692,53.456,82.945
11.704,11.015,76.69,53.426,83.017
11.785,11.092,76.688,53.395,83.088
11.865,11.17,76.686,53.365,83.159
11.945,11.247,76.684,53.334,83.23
12.025,11.325,76.681,53.304,83.302
12.106,11.403,76.679,53.273,83.373
12.186,11.48,76.677,53.243,83.444
12.266,11.558,76.675,53.212,83.515
12.346,11.635,76.673,53.181,83.587
12.427,11.713,76.67,53.151,83.658
12.521,11.79,76.668,53.12,83.729
12.614,11.868,76.666,53.09,83.8
12.708,11.946,76.664,53.059,83.872
12.801,12.023,76.662,53.029,83.943
12.894,12.101,76.659,52.998,84.014
12.988,12.178,76.657,52.968,84.085
13.081,12.256,76.655,52.937,84.157
13.175,12.333,76.653,52.906,84.228
13.268,12.411,76.651,52.876,84.299
13.361,12.489,76.649,52.845,84.371
13.455,12.566,76.646,52.815,84.442
13.548,12.644,76.644,52.784,84.513
13.641,12.721,76.642,52.754,84.584
13.735,12.799,76.64,52.723,84.656
13.828,12.876,76.638,52.692,84.727
13.921,12.954,76.635,52.662,84.798
14.015,13.031,76.633,52.631,84.869
14.108,13.109,76.631,52.601,84.941
14.201,13.187,76.629,52.57,85.012
14.295,13.264,76.627,52.54,85.083
14.388,13.342,76.624,52.509,85.154
14.481,13.419,76.622,52.479,85.226
14.575,13.497,76.62,52.448,85.297
14.668,13.574,76.618,52.417,85.368
14.762,13.652,76.616,52.387,85.439
14.832,13.73,76.614,52.356,85.511
14.896,13.807,76.611,52.326,85.582
14.96,13.885,76.609,52.295,85.653
15.024,13.962,76.607,52.265,85.724
15.088,14.04,76.605,52.234,85.796
15.152,14.117,76.603,52.204,85.867
15.217,14.195,76.6,52.173,85.938
15.281,14.273,76.598,52.142,86.01
15.345,14.35,76.596,52.112,86.081
15.409,14.428,76.594,52.081,86.152
15.473,14.505,76.592,52.051,86.223
15.538,14.583,76.589,52.02,86.295
15.602,14.66,76.587,51.99,86.366
15.666,14.738,76.585,51.959,86.437
15.73,14.816,76.583,51.929,86.508
15.794,14.893,76.581,51.898,86.58
15.858,14.971,76.579,51.867,86.651
15.923,15.048,76.576,51.837,86.722
15.987,15.126,76.574,51.806,86.793
16.051,15.203,76.572,51.776,86.865
16.115,15.281,76.57,51.745,86.936
16.179,15.359,76.568,51.715,87.007
16.243,15.436,76.565,51.684,87.078
16.308,15.514,76.563,51.654,87.15
16.372,15.591,76.561,51.623,87.221
16.436,15.669,76.559,51.592,87.292
16.5,15.746,76.557,51.562,87.364
16.564,15.824,76.554,51.531,87.435
16.628,15.902,76.552,51.501,87.506
16.693,15.979,76.55,51.47,87.577
16.757,16.057,76.548,51.44,87.649
16.822,16.134,76.546,51.409,87.72
16.89,16.212,76.544,51.379,87.791
16.958,16.289,76.541,51.348,87.862
17.026,16.367,76.539,51.317,87.934
17.094,16.444,76.537,51.287,88.005
17.161,16.522,76.535,51.256,88.076
17.229,16.6,76.533,51.226,88.147
17.297,16.677,76.53,51.195,88.219
17.365,16.755,76.528,51.165,88.29
17.433,16.832,76.526,51.134,88.361
17.5,16.91,76.524,51.104,88.432
17.568,16.987,76.522,51.073,88.504
17.636,17.065,76.519,51.042,88.575
17.704,17.143,76.517,51.012,88.646
17.772,17.22,76.515,50.981,88.718
17.84,17.298,76.513,50.951,88.789
17.911,17.375,76.511,50.92,88.86
17.984,17.453,76.509,50.89,88.931
18.057,17.53,76.506,50.859,89.003
18.129,17.608,76.504,50.829,89.074
18.202,17.686,76.502,50.798,89.145
18.275,17.763,76.5,50.767,89.216
18.347,17.841,76.498,50.737,89.288
18.42,17.918,76.495,50.706,89.359
18.493,17.996,76.493,50.676,89.43
18.565,18.073,76.491,50.645,89.501
18.638,18.151,76.489,50.615,89.573
18.711,18.229,76.487,50.584,89.644
18.783,18.306,76.484,50.554,89.715
18.856,18.384,76.482,50.523,89.786
18.929,18.461,76.48,50.492,89.858
19.001,18.539,76.478,50.462,89.929
19.074,18.616,76.476,50.431,90
19.147,18.694,76.474,50.401,90.072
19.219,18.772,76.471,50.37,90.143
19.292,18.849,76.469,50.34,90.214
19.365,18.927,76.467,50.309,90.285
19.437,19.004,76.465,50.279,90.357
19.51,19.082,76.463,50.248,90.428
19.583,19.159,76.46,50.217,90.499
19.655,19.237,76.458,50.187,90.57
19.728,19.315,76.456,50.156,90.642
19.801,19.392,76.454,50.126,90.713
19.873,19.47,76.452,50.095,90.784
19.946,19.547,76.449,50.065,90.855
20.019,19.625,76.447,50.034,90.927
20.091,19.702,76.445,50.003,90.998
20.164,19.78,76.443,49.973,91.069
20.237,19.858,76.441,49.942,91.14
20.309,19.935,76.439,49.912,91.212
20.382,20.013,76.436,49.881,91.283
20.455,20.09,76.434,49.851,91.354
20.527,20.168,76.432,49.82,91.425
20.6,20.245,76.43,49.79,91.497
20.673,20.323,76.428,49.759,91.568
