0 1 2
1 0 3
1 4 2
4 1 3
5 6 7
6 5 8
7 6 9
10 6 8
6 10 9
5 11 12
11 5 13
5 12 8
5 7 13
14 11 15
11 14 16
12 11 16
15 11 13
14 17 18
17 14 19
14 15 19
16 14 18
17 20 21
20 17 22
17 21 18
22 17 19
23 20 24
20 23 25
21 20 25
20 22 24
26 23 27
23 26 28
27 23 24
23 28 25
29 26 30
26 29 31
26 27 30
28 26 31
0 29 32
29 0 33
32 29 30
29 33 31
0 32 3
33 0 2
12 16 34
12 35 8
35 12 34
32 30 36
32 36 37
32 37 3
18 21 38
38 21 39
39 21 25
30 27 40
40 27 41
41 27 24
24 22 42
22 19 43
42 22 43
15 44 45
44 15 13
15 45 19
25 28 46
28 31 47
46 28 47
33 48 49
48 33 2
33 49 31
7 50 13
50 7 51
7 9 51
16 18 52
16 52 34
35 53 54
53 35 55
35 56 8
56 35 54
35 34 55
36 30 40
18 38 52
38 39 57
38 57 58
38 58 52
57 39 59
59 39 46
39 25 46
57 59 60
58 57 61
57 60 61
60 59 62
62 59 63
63 59 46
36 40 64
37 36 65
65 36 64
58 61 53
58 53 55
52 58 55
40 41 66
40 66 64
66 41 67
67 41 42
41 24 42
37 65 68
37 68 4
37 4 3
68 65 69
69 65 70
65 64 70
60 62 71
60 71 72
60 72 61
71 62 73
73 62 74
74 62 63
72 71 75
75 71 76
71 73 76
66 67 77
66 77 78
66 78 64
72 75 79
72 79 80
61 72 80
79 75 81
81 75 82
83 75 76
75 83 82
79 81 84
79 84 85
79 85 80
84 81 86
86 81 87
87 81 82
84 86 88
84 88 89
85 84 89
86 87 90
88 86 91
91 86 90
92 87 93
87 92 90
93 87 82
73 74 94
73 94 95
73 95 76
88 91 96
88 96 97
88 97 89
96 91 98
98 91 99
99 91 90
77 67 100
100 67 101
101 67 42
68 69 102
68 102 4
97 96 103
96 98 104
96 104 103
102 69 105
105 69 106
106 69 70
89 97 107
107 97 108
108 97 103
104 98 109
109 98 100
100 98 99
78 77 92
92 77 99
77 100 99
104 109 44
104 44 50
104 50 103
102 105 95
4 102 110
102 95 110
109 100 101
44 109 45
45 109 101
85 53 80
53 85 54
85 89 111
85 111 54
94 74 48
48 74 49
49 74 63
78 92 106
78 106 70
64 78 70
95 105 83
83 105 93
105 106 93
95 94 110
94 48 112
94 112 110
2 4 112
112 4 110
106 92 93
92 99 90
95 83 76
83 93 82
48 2 112
31 49 47
49 63 47
50 44 13
45 101 43
19 45 43
101 42 43
53 61 80
63 46 47
89 107 111
107 108 10
107 10 56
107 56 111
10 108 9
108 103 51
9 108 51
56 10 8
111 56 54
103 50 51
34 52 55
