,x,y,z,r,mu,Ux,Uy,Uz,Umag,g11,g12,g13,g21,g22,g23,g31,g32,g33,F11,F12,F13,F21,F22,F23,F31,F32,F33,R11,R12,R13,R21,R22,R23,R31,R32,R33,U11,U12,U13,U21,U22,U23,U31,U32,U33,C11,C12,C13,C21,C22,C23,C31,C32,C33,w1,w2,w3,v11,v12,v13,v21,v22,v23,v31,v32,v33,stretch
0,0.0,10.1,0.0,0.0,324999999999999.94,1.0867925234448123e-08,9.983211779694351e-05,2.4944858770196025e-10,9.983211838880725e-05,9.872263002594171e-06,7.277511418970484e-08,-2.2549876502480958e-08,-7.402740157350415e-09,-1.0134350686606548e-06,2.5800209849357884e-08,4.097948492807703e-08,4.2774154460572067e-08,-9.55706192090114e-06,1.0000098722630026,7.277511418970484e-08,-2.2549876502480958e-08,-7.402740157350415e-09,0.9999989865649314,2.5800209849357884e-08,4.097948492807703e-08,4.2774154460572067e-08,0.9999904429380791,0.9999999999999982,4.0088749973507035e-08,-3.1764676427918116e-08,-4.008875024379567e-08,0.9999999999999989,-8.487015724749358e-09,3.1764676087587054e-08,8.487017098650351e-09,0.9999999999999994,1.0000098722630022,3.2686405930850714e-08,9.214494973736487e-09,3.268640593128461e-08,0.9999989865649331,3.428714496003793e-08,9.214494973736487e-09,3.428714496003793e-08,0.9999904429380789,1.0000197446234687,6.537310174248105e-08,1.8428993972817367e-08,6.537310174248105e-08,0.9999979731308969,6.857392772677988e-08,1.8428993972817367e-08,6.857392772677988e-08,0.9999808859674969,1.0000098723656172,0.9999989866041641,0.9999904427962343,-0.9999953725118794,-0.003004160939411669,-0.0004795538323107781,-0.003006060074095646,0.9999874421821882,0.004009872910208018,-0.0004675015066316473,-0.004011295905954406,0.9999918454404998,0.9999989865649349
1,0.0,10.2,0.0,0.09999999999999964,324999999999999.9,1.8848002929960853e-08,9.972746715587066e-05,1.401452696707018e-09,9.972746894680796e-05,9.77801766722083e-06,6.297841934853347e-08,-2.1244256548902662e-08,-8.758551486440832e-09,-1.192742283841337e-06,2.927311272832936e-08,3.2354696846028356e-08,6.401158620028822e-08,-9.27689401427958e-06,1.0000097780176673,6.297841934853347e-08,-2.1244256548902662e-08,-8.758551486440832e-09,0.9999988072577162,2.927311272832936e-08,3.2354696846028356e-08,6.401158620028822e-08,0.9999907231059857,0.999999999999999,3.586833179159776e-08,-2.6799470894843178e-08,-3.586833225829513e-08,0.999999999999999,-1.736932670002439e-08,2.679947027191482e-08,1.7369327687082048e-08,0.9999999999999996,1.0000097780176678,2.7110131588856598e-08,5.55496405764324e-09,2.7110131588856598e-08,0.9999988072577192,4.664227847787222e-08,5.55496405758903e-09,4.664227847787222e-08,0.9999907231059855,1.0000195561309453,5.4220496183959864e-08,1.1109932162926258e-08,5.4220496183959864e-08,0.9999976145168631,9.328406884670767e-08,1.1109932162926258e-08,9.328406884670767e-08,0.9999814462980334,1.0000097780863473,0.9999988074596668,0.9999907228353577,-0.9999968994180142,-0.0024723681293285266,-0.00029757384205292997,-0.0024740434086428374,0.9999803065429468,0.005767636906582134,-0.0002833082601042266,-0.005768355241019636,0.9999833227680567,0.9999988072577203
2,0.0,10.299999999999999,0.0,0.1999999999999993,324999999999999.75,2.4585100642157274e-08,9.960320659307792e-05,3.4803528902526265e-09,9.960320968805871e-05,9.683886750519962e-06,5.268128641990098e-08,-1.9806277885102484e-08,-1.0256326625118781e-08,-1.3721748224616168e-06,3.2546734707122316e-08,2.2382365906624278e-08,8.548410424548371e-08,-8.996606264021585e-06,1.0000096838867505,5.268128641990098e-08,-1.9806277885102484e-08,-1.0256326625118781e-08,0.9999986278251776,3.2546734707122316e-08,2.2382365906624278e-08,8.548410424548371e-08,0.999991003393736,0.9999999999999999,3.146867606958743e-08,-2.1094315707213557e-08,-3.1468676627096784e-08,0.9999999999999992,-2.6468825008521546e-08,2.109431487432945e-08,2.6468825680726893e-08,0.9999999999999993,1.0000096838867505,2.121265477556148e-08,1.2878461958963291e-09,2.121265477556148e-08,0.9999986278251802,5.901531442437796e-08,1.2878461958963291e-09,5.901531442437796e-08,0.9999910033937347,1.000019367867279,4.242548594120342e-08,2.575694520626549e-09,4.242548594120342e-08,0.9999972556522481,1.1803002418254819e-07,2.575694520626549e-09,1.1803002418254819e-07,0.9999820068684124,1.0000096839275547,0.9999986282412119,0.999991002936899,-0.9999981558388521,-0.0019190345081989961,-7.500300912926195e-05,-0.0019195575103904954,0.999968208774414,0.0077392983825603666,-6.0148644021267204e-05,-0.007739428085366335,0.999970048368976,0.9999986278251826
3,0.0,10.399999999999999,0.0,0.29999999999999893,324999999999999.8,2.8146314324598345e-08,9.945998983990268e-05,6.472086127953407e-09,9.945999403306061e-05,9.589755833819092e-06,4.238415349126832e-08,-1.8368299221302318e-08,-1.1754101763796961e-08,-1.5516073610818967e-06,3.5820356685915283e-08,1.2410034967220188e-08,1.0695662229067921e-07,-8.71631851376359e-06,1.0000095897558339,4.238415349126832e-08,-1.8368299221302318e-08,-1.1754101763796961e-08,0.999998448392639,3.5820356685915283e-08,1.2410034967220188e-08,1.0695662229067921e-07,0.9999912836814863,0.9999999999999998,2.7069019163666755e-08,-1.5389161548844165e-08,-2.706901971110775e-08,0.9999999999999989,-3.5568315074480106e-08,1.538916058593711e-08,3.556831548734429e-08,0.9999999999999991,1.0000095897558339,1.5315177426504788e-08,-2.9792737418266914e-09,1.5315177426505e-08,0.999998448392642,7.138836173592455e-08,-2.9792737418266914e-09,7.138836173592455e-08,0.9999912836814838,1.0000191796036315,3.0630477746240804e-08,-5.958548992440404e-09,3.0630477746240804e-08,0.9999968967876987,1.4277599035095351e-07,-5.958548992440404e-09,1.4277599035095351e-07,0.9999825674389484,1.00000958977734,0.9999984490829069,0.999991282969714,-0.999999044210226,-0.0013736108511541811,0.00015739079969057318,-0.0013719746114921824,0.9999494269565953,0.00996299226348909,0.00017106811423785447,-0.009962766800908645,0.9999503557744108,0.9999984483926456
4,0.0,10.499999999999998,0.0,0.3999999999999986,324999999999999.75,2.9531643977282664e-08,9.929781689634494e-05,1.0376652409809941e-08,9.929782182995234e-05,9.495624917118225e-06,3.2087020562635753e-08,-1.693032055750214e-08,-1.3251876902475e-08,-1.7310398997021766e-06,3.9093978664708264e-08,2.4377040278161103e-09,1.284291403358745e-07,-8.436030763505596e-06,1.000009495624917,3.2087020562635753e-08,-1.693032055750214e-08,-1.3251876902475e-08,0.9999982689601002,3.9093978664708264e-08,2.4377040278161103e-09,1.284291403358745e-07,0.9999915639692365,0.9999999999999994,2.266936107467775e-08,-9.68400840734799e-09,-2.2669361506971178e-08,0.9999999999999984,-4.46678078032392e-08,9.684007394920001e-09,4.4667808039161594e-08,0.999999999999999,1.000009495624916,9.417699540314064e-09,-7.246395743328547e-09,9.417699540422484e-09,0.9999982689601051,8.376140978386126e-08,-7.246395743274337e-09,8.376140978386126e-08,0.9999915639692338,1.0000189913400013,1.883547159907262e-08,-1.4492798376274532e-08,1.883547159907262e-08,0.9999965379232145,1.6752196735192352e-07,-1.4492798376274532e-08,1.6752196735192352e-07,0.9999831280096414,1.000009495635689,0.9999982699985748,0.9999915629199927,-0.9999995705679193,-0.0008358817822990802,0.0004002069753640542,-0.0008308179072853031,0.9999216469820397,0.012490381832833,0.0004106161005538276,-0.012490043953389124,0.9999219120493663,0.999998268960109
5,0.0,10.599999999999998,0.0,0.4999999999999982,324999999999999.75,2.874108960021084e-08,9.91166877624047e-05,1.5194051735821002e-08,9.911669309404681e-05,9.401494000417358e-06,2.1789887634003243e-08,-1.549234189370197e-08,-1.4749652041152978e-08,-1.910472438322456e-06,4.236760064350119e-08,-7.534626911587978e-09,1.4990165838107014e-07,-8.1557430132476e-06,1.0000094014940004,2.1789887634003243e-08,-1.549234189370197e-08,-1.4749652041152978e-08,0.9999980895275616,4.236760064350119e-08,-7.534626911587978e-09,1.4990165838107014e-07,0.9999918442569867,1.0000000000000004,1.8269701801970362e-08,-3.978856287739467e-09,-1.8269702016076575e-08,0.999999999999999,-5.376729954147119e-08,3.978855305018618e-09,5.3767299513715616e-08,0.9999999999999988,1.0000094014940006,3.5202211180344932e-09,-1.1513519813000257e-08,3.5202211180344932e-09,0.9999980895275689,9.613446156839234e-08,-1.1513519813000257e-08,9.613446156665761e-08,0.9999918442569835,1.0000188030763892,7.040467499698755e-09,-2.3027053630875895e-08,7.040467499698755e-09,0.999996179058796,1.922679551854586e-07,-2.3027053630875895e-08,1.922679551854586e-07,0.9999836885804916,1.0000094015026073,0.9999980910060436,0.9999918427699016,-0.999999739372312,-0.00030563530809118555,0.0006540966033346517,-0.0006587223154387189,0.01538804318204628,-0.9998813800706255,-0.0002955337868784219,0.9998815503419507,0.015388240495852051,0.9999980895275731
6,0.0,10.699999999999998,0.0,0.5999999999999979,324999999999999.7,2.7375397389417153e-08,9.891526750809945e-05,2.063870814892372e-08,9.891527344938966e-05,9.307072468794945e-06,1.2894524499049602e-08,-1.1926140883988631e-08,-1.319055516173591e-08,-2.0920510838348327e-06,4.58046242466469e-08,-1.4745567023412417e-08,1.7019743764029735e-07,-7.874129402723826e-06,1.0000093070724687,1.2894524499049602e-08,-1.1926140883988631e-08,-1.319055516173591e-08,0.9999979079489162,4.58046242466469e-08,-1.4745567023412417e-08,1.7019743764029735e-07,0.9999921258705973,0.9999999999999998,1.3042493161837933e-08,1.409710944874111e-09,-1.304249307424795e-08,0.9999999999999979,-6.219671655482983e-08,-1.4097117565078573e-09,6.219671654095205e-08,0.9999999999999979,1.0000093070724685,-1.479415296001043e-10,-1.3335842137724742e-08,-1.4794152961196275e-10,0.9999979079489251,1.080008513246189e-07,-1.3335842137724742e-08,1.080008513246189e-07,0.9999921258705922,1.0000186142315595,-2.958855667548473e-10,-2.667170340054409e-08,-2.958855667548473e-10,0.9999958159022382,2.1600062575090055e-07,-2.667170340054409e-08,2.1600062575090055e-07,0.9999842518031987,1.0000093070828246,0.9999979099655073,0.9999921238436542,-0.9999996984606774,2.0333489916562322e-05,0.0007763150801151452,0.0007758001870345855,-0.018668726915791856,0.9998254231461677,-3.482275440370083e-05,-0.9998257239246641,-0.01866870552280219,0.9999979079489307
7,0.0,10.799999999999997,0.0,0.6999999999999975,324999999999999.6,2.9438533094297455e-08,9.869010001693362e-05,2.5996499242504474e-08,9.869010783152263e-05,9.211831484320968e-06,7.951760386073717e-09,-2.3589476992831286e-09,-3.0119335903766894e-09,-2.2796811509436887e-06,4.9702394759533614e-08,-1.4170156813231231e-08,1.8717514242287968e-07,-7.588777236829959e-06,1.0000092118314843,7.951760386073717e-09,-2.3589476992831286e-09,-3.0119335903766894e-09,0.999997720318849,4.9702394759533614e-08,-1.4170156813231231e-08,1.8717514242287968e-07,0.9999924112227632,1.0000000000000004,5.481828125030461e-09,5.9055993358340594e-09,-5.481827719142437e-09,0.9999999999999977,-6.873671280424598e-08,-5.905599713027995e-09,6.873671336629639e-08,0.9999999999999974,1.0000092118314836,2.4699440580715237e-09,-8.264502868301701e-09,2.4699440580715237e-09,0.9999977203188591,1.1843858675059105e-07,-8.264502868301701e-09,1.1843858675059105e-07,0.999992411222757,1.0000184237478267,4.939904259920821e-09,-1.652901885827989e-08,4.939904259920821e-09,0.9999954406429302,2.368760034275829e-07,-1.652901885827989e-08,2.368760034275829e-07,0.9999848225031183,1.0000092118360562,0.9999977229592926,0.9999924085777528,-0.9999998577106031,-0.00020988151453123203,0.0004904370737093849,-0.0004949939289196573,0.022292193730392634,-0.9997513756328105,-0.00019889641459069159,0.9997514761414658,0.022292294479853772,0.9999977203188667
8,0.0,10.899999999999997,0.0,0.7999999999999972,324999999999999.56,3.1055148730106875e-08,9.844434863266865e-05,3.1958906392470114e-08,9.844435871853892e-05,9.11659049984699e-06,3.008996273097837e-09,7.208245485422394e-09,7.166687980982562e-09,-2.4673112180525443e-06,5.360016527242031e-08,-1.359474660305004e-08,2.0415284720546207e-07,-7.303425070936093e-06,1.0000091165904998,3.008996273097837e-09,7.208245485422394e-09,7.166687980982562e-09,0.999997532688782,5.360016527242031e-08,-1.359474660305004e-08,2.0415284720546207e-07,0.9999926965749291,1.0,-2.078839101072577e-09,1.0401487018159468e-08,2.078839884030023e-09,0.9999999999999972,-7.527670867549241e-08,-1.0401486861600674e-08,7.527670880386195e-08,0.9999999999999972,1.0000091165904996,5.0878289048391975e-09,-3.193165298257146e-09,5.0878289048391975e-09,0.9999975326887941,1.2887632441782593e-07,-3.193165298257146e-09,1.2887632441782593e-07,0.9999926965749222,1.000018233264112,1.017569122801136e-08,-6.386335730656499e-09,1.017569122801136e-08,0.9999950653836932,2.577513892362603e-07,-6.386335730656499e-09,2.577513892362603e-07,0.999985393203201,1.000009116593334,0.9999975361185905,0.9999926931422923,0.9999998862285788,0.00043708994113117775,-0.00019103720296905283,0.0004318495044500465,-0.9996455132092009,-0.02662069545896016,0.00020260512101812707,-0.026620609942422453,0.9996455882348795,0.9999975326888028
9,0.0,10.999999999999996,0.0,0.8999999999999968,324999999999999.5,3.222524429684483e-08,9.817801335530453e-05,3.85259295988214e-08,9.817802620295427e-05,9.021349515373011e-06,-1.9337678398780636e-09,1.67754386701279e-08,1.7345309552341764e-08,-2.6549412851614004e-06,5.749793578530703e-08,-1.301933639286885e-08,2.211305519880444e-07,-7.018072905042227e-06,1.0000090213495154,-1.9337678398780636e-09,1.67754386701279e-08,1.7345309552341764e-08,0.9999973450587148,5.749793578530703e-08,-1.301933639286885e-08,2.211305519880444e-07,0.999992981927095,1.0000000000000002,-9.63950851681084e-09,1.4897373990806792e-08,9.639509735357097e-09,0.9999999999999974,-8.181670376611327e-08,-1.4897373202009054e-08,8.18167039673412e-08,0.9999999999999967,1.0000090213495165,7.705713008724672e-09,1.8781705731543133e-09,7.705713008833092e-09,0.9999973450587314,1.3931406554062997e-07,1.8781705731543133e-09,1.3931406553369108e-07,0.9999929819270875,1.000018042780416,1.541147533751666e-08,3.756345982326042e-09,1.541147533751666e-08,0.9999946901245272,2.786267831769327e-07,3.756345982326042e-09,2.786267831769327e-07,0.9999859639034469,1.0000090213548432,0.9999973494973172,0.9999929774831722,-0.999999773722981,-0.0006614105017860026,-0.0001228419095775597,-0.0006649906026686917,0.9994914544287562,0.031880876891763575,-0.00010169309207849909,-0.03188095137608723,0.9994916680982743,0.9999973450587393
